51;2018-11-19 08:28:44
52;2018-11-19 08:28:45
53;2018-11-19 08:28:45
54;2018-11-19 08:28:45
55;2018-11-19 08:28:45
56;2018-11-19 08:28:46
57;2018-11-19 08:28:46
59;2018-11-19 08:28:46
60;2018-11-19 08:28:46
61;2018-11-19 08:28:46
62;2018-11-19 08:28:47
63;2018-11-19 08:28:47
64;2018-11-19 08:28:47
66;2018-11-19 08:28:47
67;2018-11-19 08:28:48
68;2018-11-19 08:28:48
69;2018-11-19 08:28:48
70;2018-11-19 08:28:48
71;2018-11-19 08:28:48
73;2018-11-19 08:28:49
74;2018-11-19 08:28:49
75;2018-11-19 08:28:49
76;2018-11-19 08:28:49
77;2018-11-19 08:28:49
122;2018-11-19 08:28:50
124;2018-11-19 08:28:50
127;2018-11-19 08:28:50
136;2018-11-19 08:28:50
1;2018-11-19 08:28:51
2;2018-11-19 08:28:51
3;2018-11-19 08:28:51
5;2018-11-19 08:28:51
6;2018-11-19 08:28:51
7;2018-11-19 08:28:51
129;2018-11-19 08:28:52
9;2018-11-19 08:28:52
10;2018-11-19 08:28:52
11;2018-11-19 08:28:52
12;2018-11-19 08:28:52
13;2018-11-19 08:28:53
14;2018-11-19 08:28:53
15;2018-11-19 08:28:53
16;2018-11-19 08:28:53
17;2018-11-19 08:28:53
18;2018-11-19 08:28:53
19;2018-11-19 08:28:54
20;2018-11-19 08:28:54
21;2018-11-19 08:28:54
22;2018-11-19 08:28:54
24;2018-11-19 08:28:54
23;2018-11-19 08:28:54
25;2018-11-19 08:28:55
26;2018-11-19 08:28:55
115;2018-11-19 08:28:55
116;2018-11-19 08:28:55
27;2018-11-19 08:28:55
128;2018-11-19 08:28:56
30;2018-11-19 08:28:56
31;2018-11-19 08:28:56
32;2018-11-19 08:28:56
33;2018-11-19 08:28:56
34;2018-11-19 08:28:57
35;2018-11-19 08:28:57
36;2018-11-19 08:28:57
37;2018-11-19 08:28:57
39;2018-11-19 08:28:57
117;2018-11-19 08:28:58
118;2018-11-19 08:28:58
40;2018-11-19 08:28:58
119;2018-11-19 08:28:58
120;2018-11-19 08:28:58
42;2018-11-19 08:28:58
43;2018-11-19 08:28:59
44;2018-11-19 08:28:59
45;2018-11-19 08:28:59
46;2018-11-19 08:28:59
47;2018-11-19 08:28:59
48;2018-11-19 08:29:00
58;2018-11-19 08:37:39
65;2018-11-23 16:43:53
126;2018-11-23 16:43:53
141;2018-12-04 08:53:47
